County,State,Commodity,Corn_Yield_BuAcre_2022,PrecisionAg_Usage_Range,PrecisionAg_Usage_Midpoint_2022 (%),Controlled_Traffic_Farming_2021,Soil_Moisture_Monitoring_Y2_Y5_2021,Precision_Pesticide_Application_2021,Precision_Ag_Nutrient_Loss_Reduction_2021,Net_CSP_Incentive_2021,High_CSP_Incentive,High_Precision_Usage
MISSISSIPPI,ARKANSAS,CORN,174.5,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
POINSETT,ARKANSAS,CORN,170.6,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
WHITE,ARKANSAS,CORN,163.5,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
ASHLEY,ARKANSAS,CORN,164.9,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
CHICOT,ARKANSAS,CORN,177.3,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
DESHA,ARKANSAS,CORN,166.3,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
DREW,ARKANSAS,CORN,183.6,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
JEFFERSON,ARKANSAS,CORN,182.4,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
LINCOLN,ARKANSAS,CORN,185.9,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
LAFAYETTE,ARKANSAS,CORN,149.7,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
YELL,ARKANSAS,CORN,144.1,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
OTHER COUNTIES,CALIFORNIA,CORN,178.9,?50%,55,9.74,23.37,12.15,15.9,15.29,1,1
SACRAMENTO,CALIFORNIA,CORN,187.3,?50%,55,9.74,23.37,12.15,15.9,15.29,1,1
SUTTER,CALIFORNIA,CORN,135.3,?50%,55,9.74,23.37,12.15,15.9,15.29,1,1
IMPERIAL,CALIFORNIA,CORN,133.3,?50%,55,9.74,23.37,12.15,15.9,15.29,1,1
OTHER COUNTIES,COLORADO,CORN,85.6,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
ADAMS,COLORADO,CORN,49,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
CHEYENNE,COLORADO,CORN,37.7,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
KIOWA,COLORADO,CORN,40,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
KIT CARSON,COLORADO,CORN,85.2,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
PHILLIPS,COLORADO,CORN,167.1,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
WASHINGTON,COLORADO,CORN,44.1,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
YUMA,COLORADO,CORN,200.5,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
LARIMER,COLORADO,CORN,191.1,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
LOGAN,COLORADO,CORN,133.5,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
MORGAN,COLORADO,CORN,138.7,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
SEDGWICK,COLORADO,CORN,133.5,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
WELD,COLORADO,CORN,129.5,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
BENT,COLORADO,CORN,134.2,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
OTERO,COLORADO,CORN,152.5,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
PUEBLO,COLORADO,CORN,196.5,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
DELTA,COLORADO,CORN,235.3,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
MESA,COLORADO,CORN,235.1,20 to 29.9%,25,8.34,20.52,11.09,14.96,13.73,0,0
KENT,DELAWARE,CORN,177.7,20 to 29.9%,25,,21.14,12.91,17.03,17.03,1,0
NEW CASTLE,DELAWARE,CORN,155.3,20 to 29.9%,25,,21.14,12.91,17.03,17.03,1,0
SUSSEX,DELAWARE,CORN,168.4,20 to 29.9%,25,,21.14,12.91,17.03,17.03,1,0
OTHER COUNTIES,GEORGIA,CORN,167.7,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
BLECKLEY,GEORGIA,CORN,205.5,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
DODGE,GEORGIA,CORN,196.7,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
JOHNSON,GEORGIA,CORN,102.6,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
MORGAN,GEORGIA,CORN,63.3,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
PEACH,GEORGIA,CORN,124.2,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
TREUTLEN,GEORGIA,CORN,203.4,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
BURKE,GEORGIA,CORN,185.7,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
EMANUEL,GEORGIA,CORN,161.3,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
SCREVEN,GEORGIA,CORN,158.6,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
DAWSON,GEORGIA,CORN,95.6,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
HALL,GEORGIA,CORN,100.7,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
WALTON,GEORGIA,CORN,77.5,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
BANKS,GEORGIA,CORN,108.1,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
FRANKLIN,GEORGIA,CORN,117.5,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
HART,GEORGIA,CORN,72.3,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
RABUN,GEORGIA,CORN,77.8,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
BARTOW,GEORGIA,CORN,199.4,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
CHATTOOGA,GEORGIA,CORN,157.7,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
GORDON,GEORGIA,CORN,132.8,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
POLK,GEORGIA,CORN,89.2,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
BEN HILL,GEORGIA,CORN,187.9,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
BERRIEN,GEORGIA,CORN,152.4,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
COFFEE,GEORGIA,CORN,159.7,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
IRWIN,GEORGIA,CORN,181.7,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
JEFF DAVIS,GEORGIA,CORN,179.3,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
TIFT,GEORGIA,CORN,181.8,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
WORTH,GEORGIA,CORN,199,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
BACON,GEORGIA,CORN,132.3,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
BRANTLEY,GEORGIA,CORN,88.5,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
PIERCE,GEORGIA,CORN,136.7,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
WARE,GEORGIA,CORN,95.8,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
BAKER,GEORGIA,CORN,186.8,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
CALHOUN,GEORGIA,CORN,224.4,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
CLAY,GEORGIA,CORN,168.8,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
EARLY,GEORGIA,CORN,202.8,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
GRADY,GEORGIA,CORN,156.6,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
MILLER,GEORGIA,CORN,198.8,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
MITCHELL,GEORGIA,CORN,213.6,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
RANDOLPH,GEORGIA,CORN,194.2,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
SEMINOLE,GEORGIA,CORN,191.5,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
SUMTER,GEORGIA,CORN,172.2,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
TERRELL,GEORGIA,CORN,189.2,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
THOMAS,GEORGIA,CORN,173.6,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
CARROLL,GEORGIA,CORN,112,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
MACON,GEORGIA,CORN,203.5,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
TAYLOR,GEORGIA,CORN,104.9,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
OTHER COUNTIES,IDAHO,CORN,195.3,20 to 29.9%,25,8.98,19.04,11.46,15.29,13.69,0,0
BINGHAM,IDAHO,CORN,173.8,20 to 29.9%,25,8.98,19.04,11.46,15.29,13.69,0,0
FRANKLIN,IDAHO,CORN,180.8,20 to 29.9%,25,8.98,19.04,11.46,15.29,13.69,0,0
POWER,IDAHO,CORN,209.7,20 to 29.9%,25,8.98,19.04,11.46,15.29,13.69,0,0
GOODING,IDAHO,CORN,216.7,20 to 29.9%,25,8.98,19.04,11.46,15.29,13.69,0,0
JEROME,IDAHO,CORN,209.1,20 to 29.9%,25,8.98,19.04,11.46,15.29,13.69,0,0
LINCOLN,IDAHO,CORN,202.4,20 to 29.9%,25,8.98,19.04,11.46,15.29,13.69,0,0
TWIN FALLS,IDAHO,CORN,212.6,20 to 29.9%,25,8.98,19.04,11.46,15.29,13.69,0,0
ADA,IDAHO,CORN,217.4,20 to 29.9%,25,8.98,19.04,11.46,15.29,13.69,0,0
CANYON,IDAHO,CORN,220,20 to 29.9%,25,8.98,19.04,11.46,15.29,13.69,0,0
ELMORE,IDAHO,CORN,247.3,20 to 29.9%,25,8.98,19.04,11.46,15.29,13.69,0,0
GEM,IDAHO,CORN,232.7,20 to 29.9%,25,8.98,19.04,11.46,15.29,13.69,0,0
OWYHEE,IDAHO,CORN,221.8,20 to 29.9%,25,8.98,19.04,11.46,15.29,13.69,0,0
PAYETTE,IDAHO,CORN,202.5,20 to 29.9%,25,8.98,19.04,11.46,15.29,13.69,0,0
WASHINGTON,IDAHO,CORN,231.2,20 to 29.9%,25,8.98,19.04,11.46,15.29,13.69,0,0
OTHER COUNTIES,ILLINOIS,CORN,203.7,≥50%,55,,24.52,11.22,14.9,16.88,1,1
DE WITT,ILLINOIS,CORN,232.9,≥50%,55,,24.52,11.22,14.9,16.88,1,1
LOGAN,ILLINOIS,CORN,229.1,≥50%,55,,24.52,11.22,14.9,16.88,1,1
MACON,ILLINOIS,CORN,232.5,≥50%,55,,24.52,11.22,14.9,16.88,1,1
MARSHALL,ILLINOIS,CORN,221.7,≥50%,55,,24.52,11.22,14.9,16.88,1,1
MASON,ILLINOIS,CORN,219.9,≥50%,55,,24.52,11.22,14.9,16.88,1,1
MCLEAN,ILLINOIS,CORN,232.3,≥50%,55,,24.52,11.22,14.9,16.88,1,1
MENARD,ILLINOIS,CORN,229.3,≥50%,55,,24.52,11.22,14.9,16.88,1,1
PEORIA,ILLINOIS,CORN,224.5,≥50%,55,,24.52,11.22,14.9,16.88,1,1
STARK,ILLINOIS,CORN,240.6,≥50%,55,,24.52,11.22,14.9,16.88,1,1
TAZEWELL,ILLINOIS,CORN,229.9,≥50%,55,,24.52,11.22,14.9,16.88,1,1
WOODFORD,ILLINOIS,CORN,235.7,≥50%,55,,24.52,11.22,14.9,16.88,1,1
CHAMPAIGN,ILLINOIS,CORN,219.1,≥50%,55,,24.52,11.22,14.9,16.88,1,1
FORD,ILLINOIS,CORN,222.5,≥50%,55,,24.52,11.22,14.9,16.88,1,1
IROQUOIS,ILLINOIS,CORN,212.4,≥50%,55,,24.52,11.22,14.9,16.88,1,1
KANKAKEE,ILLINOIS,CORN,209.5,≥50%,55,,24.52,11.22,14.9,16.88,1,1
LIVINGSTON,ILLINOIS,CORN,213.4,≥50%,55,,24.52,11.22,14.9,16.88,1,1
PIATT,ILLINOIS,CORN,220.1,≥50%,55,,24.52,11.22,14.9,16.88,1,1
VERMILION,ILLINOIS,CORN,218.4,≥50%,55,,24.52,11.22,14.9,16.88,1,1
CLARK,ILLINOIS,CORN,207.1,≥50%,55,,24.52,11.22,14.9,16.88,1,1
CLAY,ILLINOIS,CORN,203.7,≥50%,55,,24.52,11.22,14.9,16.88,1,1
CRAWFORD,ILLINOIS,CORN,212.6,≥50%,55,,24.52,11.22,14.9,16.88,1,1
CUMBERLAND,ILLINOIS,CORN,222.4,≥50%,55,,24.52,11.22,14.9,16.88,1,1
DOUGLAS,ILLINOIS,CORN,210,≥50%,55,,24.52,11.22,14.9,16.88,1,1
EDGAR,ILLINOIS,CORN,211.9,≥50%,55,,24.52,11.22,14.9,16.88,1,1
EFFINGHAM,ILLINOIS,CORN,220.9,≥50%,55,,24.52,11.22,14.9,16.88,1,1
JASPER,ILLINOIS,CORN,203.6,≥50%,55,,24.52,11.22,14.9,16.88,1,1
LAWRENCE,ILLINOIS,CORN,192.1,≥50%,55,,24.52,11.22,14.9,16.88,1,1
MARION,ILLINOIS,CORN,194.3,≥50%,55,,24.52,11.22,14.9,16.88,1,1
MOULTRIE,ILLINOIS,CORN,210.5,≥50%,55,,24.52,11.22,14.9,16.88,1,1
SHELBY,ILLINOIS,CORN,214.5,≥50%,55,,24.52,11.22,14.9,16.88,1,1
BOONE,ILLINOIS,CORN,209.2,≥50%,55,,24.52,11.22,14.9,16.88,1,1
DE KALB,ILLINOIS,CORN,224.1,≥50%,55,,24.52,11.22,14.9,16.88,1,1
DU PAGE,ILLINOIS,CORN,184.7,≥50%,55,,24.52,11.22,14.9,16.88,1,1
GRUNDY,ILLINOIS,CORN,215.4,≥50%,55,,24.52,11.22,14.9,16.88,1,1
KANE,ILLINOIS,CORN,215,≥50%,55,,24.52,11.22,14.9,16.88,1,1
KENDALL,ILLINOIS,CORN,221.3,≥50%,55,,24.52,11.22,14.9,16.88,1,1
LA SALLE,ILLINOIS,CORN,220,≥50%,55,,24.52,11.22,14.9,16.88,1,1
LAKE,ILLINOIS,CORN,189.1,≥50%,55,,24.52,11.22,14.9,16.88,1,1
WILL,ILLINOIS,CORN,207.8,≥50%,55,,24.52,11.22,14.9,16.88,1,1
BUREAU,ILLINOIS,CORN,225.1,≥50%,55,,24.52,11.22,14.9,16.88,1,1
CARROLL,ILLINOIS,CORN,228.2,≥50%,55,,24.52,11.22,14.9,16.88,1,1
HENRY,ILLINOIS,CORN,231.9,≥50%,55,,24.52,11.22,14.9,16.88,1,1
JO DAVIESS,ILLINOIS,CORN,210.8,≥50%,55,,24.52,11.22,14.9,16.88,1,1
LEE,ILLINOIS,CORN,224.4,≥50%,55,,24.52,11.22,14.9,16.88,1,1
MERCER,ILLINOIS,CORN,226.6,≥50%,55,,24.52,11.22,14.9,16.88,1,1
OGLE,ILLINOIS,CORN,234.7,≥50%,55,,24.52,11.22,14.9,16.88,1,1
PUTNAM,ILLINOIS,CORN,216.2,≥50%,55,,24.52,11.22,14.9,16.88,1,1
ROCK ISLAND,ILLINOIS,CORN,224.2,≥50%,55,,24.52,11.22,14.9,16.88,1,1
STEPHENSON,ILLINOIS,CORN,209.7,≥50%,55,,24.52,11.22,14.9,16.88,1,1
WHITESIDE,ILLINOIS,CORN,219.8,≥50%,55,,24.52,11.22,14.9,16.88,1,1
WINNEBAGO,ILLINOIS,CORN,206.5,≥50%,55,,24.52,11.22,14.9,16.88,1,1
EDWARDS,ILLINOIS,CORN,179.5,≥50%,55,,24.52,11.22,14.9,16.88,1,1
FRANKLIN,ILLINOIS,CORN,176.1,≥50%,55,,24.52,11.22,14.9,16.88,1,1
GALLATIN,ILLINOIS,CORN,182.7,≥50%,55,,24.52,11.22,14.9,16.88,1,1
HAMILTON,ILLINOIS,CORN,171.2,≥50%,55,,24.52,11.22,14.9,16.88,1,1
JEFFERSON,ILLINOIS,CORN,162.4,≥50%,55,,24.52,11.22,14.9,16.88,1,1
MASSAC,ILLINOIS,CORN,170.8,≥50%,55,,24.52,11.22,14.9,16.88,1,1
SALINE,ILLINOIS,CORN,180.7,≥50%,55,,24.52,11.22,14.9,16.88,1,1
WABASH,ILLINOIS,CORN,181.8,≥50%,55,,24.52,11.22,14.9,16.88,1,1
WAYNE,ILLINOIS,CORN,189,≥50%,55,,24.52,11.22,14.9,16.88,1,1
WHITE,ILLINOIS,CORN,190.2,≥50%,55,,24.52,11.22,14.9,16.88,1,1
ALEXANDER,ILLINOIS,CORN,162.2,≥50%,55,,24.52,11.22,14.9,16.88,1,1
CLINTON,ILLINOIS,CORN,196.5,≥50%,55,,24.52,11.22,14.9,16.88,1,1
JACKSON,ILLINOIS,CORN,174.9,≥50%,55,,24.52,11.22,14.9,16.88,1,1
JOHNSON,ILLINOIS,CORN,168,≥50%,55,,24.52,11.22,14.9,16.88,1,1
MONROE,ILLINOIS,CORN,171,≥50%,55,,24.52,11.22,14.9,16.88,1,1
PERRY,ILLINOIS,CORN,161.4,≥50%,55,,24.52,11.22,14.9,16.88,1,1
PULASKI,ILLINOIS,CORN,175.8,≥50%,55,,24.52,11.22,14.9,16.88,1,1
RANDOLPH,ILLINOIS,CORN,171.6,≥50%,55,,24.52,11.22,14.9,16.88,1,1
ST CLAIR,ILLINOIS,CORN,185.3,≥50%,55,,24.52,11.22,14.9,16.88,1,1
UNION,ILLINOIS,CORN,166.6,≥50%,55,,24.52,11.22,14.9,16.88,1,1
WASHINGTON,ILLINOIS,CORN,184.8,≥50%,55,,24.52,11.22,14.9,16.88,1,1
WILLIAMSON,ILLINOIS,CORN,173.3,≥50%,55,,24.52,11.22,14.9,16.88,1,1
ADAMS,ILLINOIS,CORN,200.8,≥50%,55,,24.52,11.22,14.9,16.88,1,1
BROWN,ILLINOIS,CORN,201.5,≥50%,55,,24.52,11.22,14.9,16.88,1,1
FULTON,ILLINOIS,CORN,212.5,≥50%,55,,24.52,11.22,14.9,16.88,1,1
HANCOCK,ILLINOIS,CORN,214.2,≥50%,55,,24.52,11.22,14.9,16.88,1,1
HENDERSON,ILLINOIS,CORN,220.2,≥50%,55,,24.52,11.22,14.9,16.88,1,1
KNOX,ILLINOIS,CORN,229,≥50%,55,,24.52,11.22,14.9,16.88,1,1
MCDONOUGH,ILLINOIS,CORN,217.5,≥50%,55,,24.52,11.22,14.9,16.88,1,1
SCHUYLER,ILLINOIS,CORN,197.3,≥50%,55,,24.52,11.22,14.9,16.88,1,1
WARREN,ILLINOIS,CORN,211.4,≥50%,55,,24.52,11.22,14.9,16.88,1,1
BOND,ILLINOIS,CORN,197.8,≥50%,55,,24.52,11.22,14.9,16.88,1,1
CALHOUN,ILLINOIS,CORN,185.8,≥50%,55,,24.52,11.22,14.9,16.88,1,1
CASS,ILLINOIS,CORN,214.9,≥50%,55,,24.52,11.22,14.9,16.88,1,1
CHRISTIAN,ILLINOIS,CORN,225.9,≥50%,55,,24.52,11.22,14.9,16.88,1,1
GREENE,ILLINOIS,CORN,207.4,≥50%,55,,24.52,11.22,14.9,16.88,1,1
JERSEY,ILLINOIS,CORN,206.1,≥50%,55,,24.52,11.22,14.9,16.88,1,1
MACOUPIN,ILLINOIS,CORN,209.2,≥50%,55,,24.52,11.22,14.9,16.88,1,1
MADISON,ILLINOIS,CORN,200.8,≥50%,55,,24.52,11.22,14.9,16.88,1,1
MONTGOMERY,ILLINOIS,CORN,213.8,≥50%,55,,24.52,11.22,14.9,16.88,1,1
MORGAN,ILLINOIS,CORN,218.1,≥50%,55,,24.52,11.22,14.9,16.88,1,1
SANGAMON,ILLINOIS,CORN,231.3,≥50%,55,,24.52,11.22,14.9,16.88,1,1
SCOTT,ILLINOIS,CORN,207.7,≥50%,55,,24.52,11.22,14.9,16.88,1,1
OTHER COUNTIES,INDIANA,CORN,192.9,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
BARTHOLOMEW,INDIANA,CORN,185.2,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
BOONE,INDIANA,CORN,195.2,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
CLINTON,INDIANA,CORN,200.3,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
DECATUR,INDIANA,CORN,208.4,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
GRANT,INDIANA,CORN,183.8,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
HAMILTON,INDIANA,CORN,173.5,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
HANCOCK,INDIANA,CORN,186.1,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
HENDRICKS,INDIANA,CORN,201.8,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
HOWARD,INDIANA,CORN,211.7,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
JOHNSON,INDIANA,CORN,181.9,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
MADISON,INDIANA,CORN,192.3,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
MORGAN,INDIANA,CORN,190.2,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
